site,date,IGBP,year,year2,ydn,lat,dn,Rs,TA,TS,SWC,VPD,Prcp,GPP_NT,GPP_DT,GPP,Tscalar,GPP_t1,GPP_t2,GPP_t3,group,t,EVI,EVI2,NDVI,LSWI,LSWI_max,Wscalar,w,QC_flag,EVI.AG,EVI.Beck,EVI.Elmore,EVI.Zhang,EVI.whit,GPP_sim,GPP_vpm,LC,APAR,epsilon_eco,epsilon_chl
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,1,2002-02-03,0.0693987873475053,0.0693987873475053,0.0948306595365418,0.47750781813808,0.347802786709539,1.09623442888495,0.2,snow,0.308834533719275,0.317039514773911,0.314409811662935,0.317210254136221,0.307082616894611,0.152696042505268,0.147,Grassland,12.7050327491639,0.0145078488048009,-0.379275134473945
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,2,2002-02-03,0.0693987873475053,0.0693987873475053,0.0948306595365418,0.47750781813808,0.393154892496709,1.06054813150762,0.2,snow,0.325103050081831,0.326733665945529,0.330910816580756,0.326353874857818,0.313668163895116,0.152423138720571,0.147,Grassland,12.9774988078379,0.0145078488048009,-0.379275134473945
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,3,2002-02-03,0.0693987873475053,0.0693987873475053,0.0948306595365418,0.47750781813808,0.393154892496709,1.06054813150762,0.2,snow,0.325103050081831,0.326733665945529,0.330910816580756,0.326353874857818,0.313668163895116,0.152423138720571,0.147,Grassland,12.9774988078379,0.0145078488048009,-0.379275134473945
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,4,2002-02-02,0.284159531925172,0.284159531925172,0.472920156337242,0.178731009830206,0.3832350679313,0.852155238945076,0.2,cloud,0.295144037598934,0.305780329331576,0.296173770105378,0.30550539289132,0.297108437970611,0.11298079695637,0.147,Grassland,12.2923676782559,0.0145078488048009,0.0630229612472983
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,5,2002-02-03,0.0162127107652399,0.0162127107652399,0.0233091325945739,0.637920489296636,0.408964045312757,1.16249984855579,0.2,snow,0.272352861931823,0.285534045395506,0.277231679284263,0.285685157544154,0.280628636757775,0.141240812910018,0.147,Grassland,11.6105433007443,0.0145078488048009,-0.138520760724477
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,6,2002-02-03,0.0693987873475053,0.0693987873475053,0.0948306595365418,0.47750781813808,0.403690291429557,1.05258818641065,0.2,snow,0.170703125634655,0.169739551753595,0.16942518691453,0.16819663360243,0.16902591922311,0.048871018447768,0.147,Grassland,6.99316640226545,0.0145078488048009,-0.379275134473945
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,7,2002-02-02,0.140556638362251,0.140556638362251,0.267076723858854,0.0752747252747253,0.399886557005105,0.768115616150462,0.2,cloud,0.217812364531939,0.218742144758295,0.219509031968334,0.218460247709947,0.216943804254785,0.0604205273503052,0.147,Grassland,8.97568923196714,0.0145078488048009,0.28617458232543
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,8,2002-02-05,-0.00207807702086876,-0.00207807702086876,-0.0027682787819573,0.3877181055971,0.403378378378378,0.988841018913677,0.2,cloud,0.147393379432458,0.153509052421506,0.153330895076105,0.152797461280786,0.141963590661518,0.0279112839326953,0.147,Grassland,5.87350754915083,0.0145078488048009,-0.113700016522333
AT-Neu,2002-02-02,GRA,2002,2002,97,47.11667,5,73.5526,1.451375,-0.2182,,2.4594,2.15,0.332955,0.627426,0.4801905,0.0937946472514436,0.07680275,0.115782905,0.339911066666667,9,2002-02-05,-0.00207807702086876,-0.00207807702086876,-0.0027682787819573,0.3877181055971,0.402437354511845,0.989504523059521,0.2,cloud,0.110314233397598,0.109004362409471,0.113273774738416,0.106013706940479,0.101746466608076,0.00116240847970869,0.147,Grassland,4.20959090240841,0.0145078488048009,-0.113700016522333
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,1,2002-02-13,0.305693336208756,0.305693336208756,0.566811062979007,0.23639232185117,0.347802786709539,0.917339193866514,0.2,cloud,0.308243926367618,0.316954382415355,0.314385435710236,0.317126745610321,0.307082616894611,0.226337561738808,0.072,Grassland,11.8744241713893,0.0223775542969945,0.0870326854897578
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,2,2002-02-13,0.305693336208756,0.305693336208756,0.566811062979007,0.23639232185117,0.393154892496709,0.887476567401202,0.2,cloud,0.325325292362747,0.328006120347744,0.33224686190589,0.327560405241169,0.316773145517342,0.2292162555333,0.072,Grassland,12.2491423774373,0.0223775542969945,0.0870326854897578
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,3,2002-02-13,0.305693336208756,0.305693336208756,0.566811062979007,0.23639232185117,0.393154892496709,0.887476567401202,0.2,cloud,0.325325292362747,0.328006120347744,0.33224686190589,0.327560405241169,0.316773145517342,0.2292162555333,0.072,Grassland,12.2491423774373,0.0223775542969945,0.0870326854897578
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,4,2002-02-13,0.228093272470134,0.228093272470134,0.317209674195483,0.22037037037037,0.3832350679313,0.882258119869313,0.2,cloud,0.295144037598934,0.30536759699714,0.295560227272844,0.305087104762019,0.299723345854393,0.209945966901904,0.072,Grassland,11.5898521991706,0.0223775542969945,0.139757874027066
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,5,2002-02-13,0.228093272470134,0.228093272470134,0.317209674195483,0.22037037037037,0.408964045312757,0.866147276383818,0.2,cloud,0.272352861931823,0.287679085776439,0.278958474385332,0.287023227314103,0.292168298357248,0.198315439947164,0.072,Grassland,11.2977098450272,0.0223775542969945,0.139757874027066
AT-Neu,2002-02-10,GRA,2002,2002,98,47.11667,6,68.744,2.801,0.00933333333333333,,2.4958,0.086875,0.377325,1.00716533333333,0.692245166666667,0.177763922470563,0.4801905,0.07680275,0.115782905,6,2002-02-12,0.0553799734558058,0.0553799734558058,0.0699849170437406,0.610808356039964,0.403690291429557,1.14755253767515,0.2,snow,0.170882060042655,0.171231758532769,0.171456273994512,0.16974696970487,0.18201032721802,0.112130604014242,0.072,Grassland,7.03806633803001,0.0223775542969945,-0.401210954454822
