site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
CH-Lae,Laegern,8.3650,47.47808,689,8.3,1100,MF,2004-2014,2004-2014,http://sites.fluxdata.org/CH-Lae/
CH-Oe1,Oensingen grassland,7.73194,47.28583,450,9,1100,GRA,2002-2008,2002-2008,http://sites.fluxdata.org/CH-Oe1/
CH-Oe2,Oensingen crop,7.73433,47.28631,452,9.8,1155,CRO,2004-2014,2004-2014,http://sites.fluxdata.org/CH-Oe2/
CN-Cha,Changbaishan,128.0958,42.4025,,2.16,663.59,MF,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Cha/
CN-Cng,Changling,123.5092,44.5934,,,,GRA,2007-2010,2007-2010,http://sites.fluxdata.org/CN-Cng/
CN-Dan,Dangxiong,91.0664,30.4978,,-1.54,246.88,GRA,2004-2005,2004-2005,http://sites.fluxdata.org/CN-Dan/
CN-Din,Dinghushan,112.5361,23.1733,,19.64,1618.1,EBF,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Din/
CN-Du2,Duolun_grassland (D01),116.2836,42.0467,,2.01,318.96,GRA,2006-2008,2006-2008,http://sites.fluxdata.org/CN-Du2/
CN-Du3,Duolun Degraded Meadow,116.2809,42.0551,,,,GRA,,2009-2010,http://sites.fluxdata.org/CN-Du3/
CN-Ha2,Haibei Shrubland,101.3269,37.6086,,,,WET,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Ha2/
CN-HaM,Haibei Alpine Tibet site,101.1800,37.3700,,,,GRA,2002-2004,2002-2004,http://sites.fluxdata.org/CN-HaM/
CN-Qia,Qianyanzhou,115.0581,26.7414,,18.95,1466.75,ENF,2003-2005,2003-2005,http://sites.fluxdata.org/CN-Qia/
CN-Sw2,Siziwang Grazed (SZWG),111.8971,41.7902,,,,GRA,2010-2012,2010-2012,http://sites.fluxdata.org/CN-Sw2/
CZ-BK1,Bily Kriz forest,18.53686,49.50213,875,6.7,1316,ENF,2004-2008,2004-2014,http://sites.fluxdata.org/CZ-BK1/
CZ-BK2,Bily Kriz grassland,18.54285,49.49443,855,6.7,1316,GRA,2004-2006,2004-2012,http://sites.fluxdata.org/CZ-BK2/
CZ-wet,Trebon (CZECHWET),14.77035,49.02465,426,7.7,604,WET,2006-2014,2006-2014,http://sites.fluxdata.org/CZ-wet/
DE-Akm,Anklam,13.68342,53.86617,-1,8.7,558,WET,2009-2014,2009-2014,http://sites.fluxdata.org/DE-Akm/
DE-Geb,Gebesee,10.9143,51.1001,161.5,8.5,470,CRO,2001-2014,2001-2014,http://sites.fluxdata.org/DE-Geb/
DE-Gri,Grillenburg,13.51259,50.95004,385,7.8,901,GRA,2004-2014,2004-2014,http://sites.fluxdata.org/DE-Gri/
DE-Hai,Hainich,10.4530,51.07917,430,8.3,720,DBF,2000-2012,2000-2012,http://sites.fluxdata.org/DE-Hai/
DE-Kli,Klingenberg,13.52238,50.89306,478,7.6,842,CRO,2004-2014,2004-2014,http://sites.fluxdata.org/DE-Kli/
DE-Lkb,Lackenberg,13.30467,49.09962,1308,4,1599,ENF,2009-2013,2009-2013,http://sites.fluxdata.org/DE-Lkb/
DE-Lnf,Leinefelde,10.3678,51.32822,451,6.96,894.6,DBF,,2002-2012,http://sites.fluxdata.org/DE-Lnf/
DE-Obe,Oberbärenburg,13.72129,50.78666,734,5.5,996,ENF,2008-2014,2008-2014,http://sites.fluxdata.org/DE-Obe/
DE-RuR,Rollesbroich,6.30413,50.62191,514.7,7.7,1033,GRA,2011-2014,2011-2014,http://sites.fluxdata.org/DE-RuR/
DE-RuS,Selhausen Juelich,6.44717,50.86591,102.755,10,700,CRO,2011-2014,2011-2014,http://sites.fluxdata.org/DE-RuS/
DE-Seh,Selhausen,6.44965,50.87062,103,9.9,693,CRO,2007-2010,2007-2010,http://sites.fluxdata.org/DE-Seh/
DE-SfN,Schechenfilz Nord,11.3275,47.80639,590,8.6,1127,WET,2012-2014,2012-2014,http://sites.fluxdata.org/DE-SfN/
DE-Spw,Spreewald,14.03369,51.89225,61,8.7,558,WET,2010-2014,2010-2014,http://sites.fluxdata.org/DE-Spw/
DE-Tha,Tharandt,13.56516,50.96235,385,8.2,843,ENF,1996-2014,1996-2014,http://sites.fluxdata.org/DE-Tha/
DE-Zrk,Zarnekow,12.88901,53.87594,0,8.7,584,WET,,2013-2014,http://sites.fluxdata.org/DE-Zrk/
DK-Eng,Enghave,12.19175,55.69053,10,8,613,GRA,,2005-2008,http://sites.fluxdata.org/DK-Eng/
DK-Fou,Foulum,9.58722,56.4842,51,8,,CRO,2005-2005,2005-2005,http://sites.fluxdata.org/DK-Fou/
DK-NuF,Nuuk Fen,-51.38611,64.13083,50,-1.4,750,WET,2008-2014,2008-2014,http://sites.fluxdata.org/DK-NuF/
DK-Sor,Soroe,11.64464,55.48587,40,8.2,660,DBF,1996-2014,1996-2014,http://sites.fluxdata.org/DK-Sor/
DK-ZaF,Zackenberg Fen,-20.55452,74.48143,38,-9,211,WET,2008-2011,2008-2011,http://sites.fluxdata.org/DK-ZaF/
DK-ZaH,Zackenberg Heath,-20.5503,74.47328,38,-9,211,GRA,2000-2014,2000-2014,http://sites.fluxdata.org/DK-ZaH/
ES-Amo,Amoladeras,-2.25232,36.83361,58,,0,OSH,,2007-2012,http://sites.fluxdata.org/ES-Amo/
ES-LgS,Laguna Seca,-2.96583,37.09794,2267,,,OSH,2007-2009,2007-2009,http://sites.fluxdata.org/ES-LgS/
ES-LJu,Llano de los Juanes,-2.75212,36.92659,1600,16,400,OSH,,2004-2013,http://sites.fluxdata.org/ES-LJu/
ES-Ln2,Lanjaron-Salvage logging,-3.47582,36.9695,2249,,,OSH,2009-2009,2009-2009,http://sites.fluxdata.org/ES-Ln2/
FI-Hyy,Hyytiala,24.29477,61.84741,181,3.8,709,ENF,1996-2014,1996-2014,http://sites.fluxdata.org/FI-Hyy/
FI-Jok,Jokioinen,23.51345,60.8986,109,4.6,627,CRO,2000-2003,2000-2003,http://sites.fluxdata.org/FI-Jok/
FI-Let,Lettosuo,23.95952,60.64183,119,,,ENF,,2009-2012,http://sites.fluxdata.org/FI-Let/
FI-Lom,Lompolojankka,24.20918,67.99724,274,-1.4,484,WET,2007-2009,2007-2009,http://sites.fluxdata.org/FI-Lom/
FI-Sod,Sodankyla,26.63859,67.36239,180,-1,500,ENF,2001-2014,2001-2014,http://sites.fluxdata.org/FI-Sod/
FR-Fon,Fontainebleau-Barbeau,2.7801,48.47636,103,10.2,720,DBF,2005-2014,2005-2014,http://sites.fluxdata.org/FR-Fon/
