site	country	lat	long	elev	IGBP	href
IT-BCi	Italy	40.5238	14.9574	20	CRO	http://sites.fluxdata.org/IT-BCi/
IT-CA1	Italy	42.3804	12.0266	200	DBF	http://sites.fluxdata.org/IT-CA1/
IT-CA2	Italy	42.3772	12.026	200	CRO	http://sites.fluxdata.org/IT-CA2/
IT-CA3	Italy	42.38	12.0222	197	DBF	http://sites.fluxdata.org/IT-CA3/
IT-Col	Italy	41.8494	13.5881	1560	DBF	http://sites.fluxdata.org/IT-Col/
IT-Cp2	Italy	41.7043	12.3573	19	EBF	http://sites.fluxdata.org/IT-Cp2/
IT-Cpz	Italy	41.7052	12.3761	68	EBF	http://sites.fluxdata.org/IT-Cpz/
IT-Isp	Italy	45.8126	8.6336	210	DBF	http://sites.fluxdata.org/IT-Isp/
IT-La2	Italy	45.9542	11.2853	1350	ENF	http://sites.fluxdata.org/IT-La2/
IT-Lav	Italy	45.9562	11.2813	1353	ENF	http://sites.fluxdata.org/IT-Lav/
IT-MBo	Italy	46.0147	11.0458	1550	GRA	http://sites.fluxdata.org/IT-MBo/
IT-Noe	Italy	40.6061	8.1515	28	CSH	http://sites.fluxdata.org/IT-Noe/
IT-PT1	Italy	45.2009	9.061	60	DBF	http://sites.fluxdata.org/IT-PT1/
IT-Ren	Italy	46.5869	11.4337	1730	ENF	http://sites.fluxdata.org/IT-Ren/
IT-Ro1	Italy	42.4081	11.93	235	DBF	http://sites.fluxdata.org/IT-Ro1/
IT-Ro2	Italy	42.3903	11.9209	160	DBF	http://sites.fluxdata.org/IT-Ro2/
IT-SR2	Italy	43.732	10.291	12	ENF	http://sites.fluxdata.org/IT-SR2/
IT-SRo	Italy	43.7279	10.2844	6	ENF	http://sites.fluxdata.org/IT-SRo/
IT-Tor	Italy	45.8444	7.5781	2160	GRA	http://sites.fluxdata.org/IT-Tor/
JP-MBF	Japan	44.3869	142.3186		DBF	http://sites.fluxdata.org/JP-MBF/
JP-SMF	Japan	35.2617	137.0788		MF	http://sites.fluxdata.org/JP-SMF/
MY-PSO	Malaysia	2.973	102.3062		EBF	http://sites.fluxdata.org/MY-PSO/
NL-Hor	Netherlands	52.2404	5.0713	2.2	GRA	http://sites.fluxdata.org/NL-Hor/
NL-Loo	Netherlands	52.1666	5.7436	25	ENF	http://sites.fluxdata.org/NL-Loo/
NO-Adv	Norway	78.186	15.923	17	WET	http://sites.fluxdata.org/NO-Adv/
NO-Blv	Norway	78.9216	11.8311	25	SNO	http://sites.fluxdata.org/NO-Blv/
PA-SPn	Panama	9.3181	-79.6346	78	DBF	http://sites.fluxdata.org/PA-SPn/
PA-SPs	Panama	9.3138	-79.6314	68	GRA	http://sites.fluxdata.org/PA-SPs/
RU-Che	Russia	68.613	161.3414	4	WET	http://sites.fluxdata.org/RU-Che/
RU-Cok	Russia	70.8291	147.4943	48	OSH	http://sites.fluxdata.org/RU-Cok/
RU-Fyo	Russia	56.4615	32.9221	265	ENF	http://sites.fluxdata.org/RU-Fyo/
RU-Ha1	Russia	54.7252	90.0022	446	GRA	http://sites.fluxdata.org/RU-Ha1/
RU-Sam	Russia	72.3733	126.4978		GRA	http://sites.fluxdata.org/RU-Sam/
RU-SkP	Russia	62.255	129.168	246	DNF	http://sites.fluxdata.org/RU-SkP/
RU-Tks	Russia	71.5943	128.8878	7	GRA	http://sites.fluxdata.org/RU-Tks/
RU-Vrk	Russia	67.0547	62.9405	100	CSH	http://sites.fluxdata.org/RU-Vrk/
SD-Dem	Sudan	13.2829	30.4783	500	SAV	http://sites.fluxdata.org/SD-Dem/
SE-St1	Sweden	68.3541	19.0503	351	WET	http://sites.fluxdata.org/SE-St1/
SN-Dhr	Senegal	15.4028	-15.4322	40	SAV	http://sites.fluxdata.org/SN-Dhr/
US-AR1	USA	36.4267	-99.42	611	GRA	http://sites.fluxdata.org/US-AR1/
US-AR2	USA	36.6358	-99.5975	646	GRA	http://sites.fluxdata.org/US-AR2/
US-ARb	USA	35.5497	-98.0402	424	GRA	http://sites.fluxdata.org/US-ARb/
US-ARc	USA	35.5465	-98.04	424	GRA	http://sites.fluxdata.org/US-ARc/
US-ARM	USA	36.6058	-97.4888	314	CRO	http://sites.fluxdata.org/US-ARM/
US-Atq	USA	70.4696	-157.4089	15	WET	http://sites.fluxdata.org/US-Atq/
US-Blo	USA	38.8953	-120.6328	1315	ENF	http://sites.fluxdata.org/US-Blo/
US-Cop	USA	38.09	-109.39	1520	GRA	http://sites.fluxdata.org/US-Cop/
US-CRT	USA	41.6285	-83.3471	180	CRO	http://sites.fluxdata.org/US-CRT/
US-GBT	USA	41.3658	-106.2397	3191	ENF	http://sites.fluxdata.org/US-GBT/
US-GLE	USA	41.3665	-106.2399	3197	ENF	http://sites.fluxdata.org/US-GLE/
US-Goo	USA	34.2547	-89.8735	87	GRA	http://sites.fluxdata.org/US-Goo/
US-Ha1	USA	42.5378	-72.1715	340	DBF	http://sites.fluxdata.org/US-Ha1/
US-IB2	USA	41.8406	-88.241	226.5	GRA	http://sites.fluxdata.org/US-IB2/
US-Ivo	USA	68.4865	-155.7503	568	WET	http://sites.fluxdata.org/US-Ivo/
US-KS1	USA	28.4583	-80.6709	1	ENF	http://sites.fluxdata.org/US-KS1/
US-KS2	USA	28.6086	-80.6715	3	CSH	http://sites.fluxdata.org/US-KS2/
US-Lin	USA	36.3566	-119.8423	131	CRO	http://sites.fluxdata.org/US-Lin/
US-Los	USA	46.0827	-89.9792	480	WET	http://sites.fluxdata.org/US-Los/
US-LWW	USA	34.9604	-97.9789	365	GRA	http://sites.fluxdata.org/US-LWW/
US-Me1	USA	44.5794	-121.5	896	ENF	http://sites.fluxdata.org/US-Me1/
US-Me2	USA	44.4523	-121.5574	1253	ENF	http://sites.fluxdata.org/US-Me2/
US-Me3	USA	44.3154	-121.6078	1005	ENF	http://sites.fluxdata.org/US-Me3/
US-Me4	USA	44.4992	-121.6224	922	ENF	http://sites.fluxdata.org/US-Me4/
US-Me5	USA	44.4372	-121.5668	1188	ENF	http://sites.fluxdata.org/US-Me5/
US-Me6	USA	44.3233	-121.6078	998	ENF	http://sites.fluxdata.org/US-Me6/
US-MMS	USA	39.3232	-86.4131	275	DBF	http://sites.fluxdata.org/US-MMS/
US-Myb	USA	38.0498	-121.7651	-1	WET	http://sites.fluxdata.org/US-Myb/
US-Ne1	USA	41.1651	-96.4766	361	CRO	http://sites.fluxdata.org/US-Ne1/
US-Ne2	USA	41.1649	-96.4701	362	CRO	http://sites.fluxdata.org/US-Ne2/
US-Ne3	USA	41.1797	-96.4397	363	CRO	http://sites.fluxdata.org/US-Ne3/
US-NR1	USA	40.0329	-105.5464	3050	ENF	http://sites.fluxdata.org/US-NR1/
US-Oho	USA	41.5545	-83.8438	230	DBF	http://sites.fluxdata.org/US-Oho/
US-ORv	USA	40.0201	-83.0183	221	WET	http://sites.fluxdata.org/US-ORv/
US-PFa	USA	45.9459	-90.2723	470	MF	http://sites.fluxdata.org/US-PFa/
US-Prr	USA	65.1237	-147.4876	210	ENF	http://sites.fluxdata.org/US-Prr/
US-SRC	USA	31.9083	-110.8395	991	OSH	http://sites.fluxdata.org/US-SRC/
US-SRG	USA	31.7894	-110.8277	1291	GRA	http://sites.fluxdata.org/US-SRG/
US-SRM	USA	31.8214	-110.8661	1120	WSA	http://sites.fluxdata.org/US-SRM/
US-Sta	USA	41.3966	-106.8024	2069	OSH	http://sites.fluxdata.org/US-Sta/
US-Syv	USA	46.242	-89.3477	540	MF	http://sites.fluxdata.org/US-Syv/
US-Ton	USA	38.4316	-120.966	177	WSA	http://sites.fluxdata.org/US-Ton/
US-Tw1	USA	38.1074	-121.6469	-9	WET	http://sites.fluxdata.org/US-Tw1/
